'gene','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Rheumatoid arthritis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Endometriosis','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Parkinson''s disease','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Neuromuscular pain','Breast cancer','Breast cancer','Breast cancer','Breast cancer','Breast cancer'
'1555759_a_at',6.629020034,6.421920969,6.91826201,6.248467444,6.587312483,5.730764644,5.93918164,5.087718926,4.613384697,4.984989044,5.007560238,5.38757595,4.973315702,6.057357765,6.291816104,4.496425278,5.082468718,3.777560386,5.237838622,1.565077998,4.479479458,6.696517673,6.39433839,7.231951531,3.227753914,1.973184454,2.190619412,4.765063444,1.918925584,1.866739097,5.677376106,3.962365897,5.248852589,3.824145737,3.376512458,2.395308546,1.657130491,5.074159773,2.885463444,2.454472976,2.652394081,2.724902316,3.366375973,3.698011077,0.638078267,2.136460181,1.969192799,3.655420898,4.218075386,2.852799131,6.511152869,4.539878832,5.826445143,6.384005402,5.732518175,5.528528366,4.562158871,5.466508111,5.486587571,5.48435626,6.131634155,6.403510841,4.627094726,7.933212144,5.538117574,5.773139984
'1556989_at',5.029941359,6.691088464,4.783810006,6.979521935,5.579040995,4.7986692,5.448076718,4.766399118,7.71159942,6.46923567,7.186721877,6.10557693,5.766608685,5.443179581,6.141497447,5.692141615,5.80825526,6.455930573,5.827551165,5.852173148,5.479067773,6.21227679,5.637770832,5.390583333,5.055868902,5.190851702,5.76429465,5.640914517,4.783810006,5.625786444,3.376162131,6.033156855,5.840851134,5.753981533,4.899697428,5.581586271,6.16015937,5.862990499,6.217765037,6.711451646,5.925214836,5.862567567,5.975324252,5.877502599,5.759824779,5.576253302,5.519095017,4.893960821,5.336377273,5.530800893,6.144206724,6.485776306,6.559179258,5.239532459,6.769469552,5.969322894,6.237355115,6.442834525,5.664602072,4.533218068,5.916894746,4.885802111,5.531826139,4.330385054,5.241495726,3.888779623
'1557807_a_at',1.607089275,1.798429167,1.763620628,-0.926879212,0.026436032,3.155644019,0.023977508,0.862097696,1.453648621,-0.460397611,1.259454867,-0.139764894,0.915778188,-0.677699683,-0.174608546,-0.551492766,2.355090608,1.449322049,-0.349895656,2.180718834,3.220378773,-0.059891623,4.37434767,-0.010263648,2.704098425,4.399489065,3.653239114,1.214530744,0.373311738,4.895954884,1.892998641,3.912062143,2.513758292,4.280680692,3.901780191,4.646770772,1.458579451,3.375701561,3.955619618,4.370874271,3.310299309,1.279760972,2.94889508,3.864946903,1.582603041,4.528530732,2.873302547,4.675193604,4.698878069,1.746931078,4.628380825,1.579557418,2.504259534,0.81614988,3.95870076,3.590343189,4.22583632,3.800924154,3.070243958,4.160770712,3.65458911,1.590853764,0.44791202,0.439000777,-0.263796755,3.162284094
'1557950_at',6.0986562,5.964811752,6.09986074,6.290624329,6.010460183,4.555093092,4.52296065,4.764661374,5.762973933,6.007174588,6.313902405,6.131788565,5.800775358,5.777751329,5.696754414,6.012131707,6.104046094,5.988493297,5.693461317,5.703396377,5.977690373,5.563859123,5.306178952,5.673404974,6.22744604,5.90247381,5.668559462,6.078727555,5.984049142,6.327683128,6.015532975,6.041230448,5.955591874,5.795587989,6.150214924,5.719964602,6.051285956,6.241075926,6.528939351,6.634478561,6.676523685,5.601493254,6.485601319,6.646280212,5.978129615,6.794228288,6.214057723,5.897176047,5.71386497,6.224661071,5.045686698,6.157128253,4.619237994,4.834192318,6.069246874,5.556122348,5.73480235,6.245986275,4.857314816,6.446399693,6.152735911,5.202543114,4.988179103,5.122917066,5.055332369,3.768636189
'1558101_at',0.465109292,1.905609789,1.311773317,1.102936923,1.498817173,4.588241933,4.665876177,4.515734277,2.803701996,1.183231727,4.893238415,4.580580012,5.08497511,5.026636695,4.083476439,4.931540902,5.084424017,4.892722818,5.143376033,4.265162551,4.104083249,4.563998228,1.932608793,2.706863635,2.421679783,5.427731644,2.871363797,4.706207828,5.662216129,4.040021961,2.34710424,4.773901202,3.562528498,2.465632755,1.707700623,0.838981317,1.677809416,2.465092555,2.247843439,4.696006194,3.918961552,2.287222157,5.913556719,1.431828742,4.742837211,0.699490463,3.791858204,1.866528478,2.666854269,3.026861402,3.05796864,2.768558573,3.816699921,0.400044643,3.838867011,2.019001091,4.743239589,5.499872393,4.758650073,6.61960486,2.050982122,3.7451302,4.757821701,0.497142386,4.804373552,3.59508066
'1558215_s_at',6.353966808,5.689741679,4.64107924,5.331685971,4.834093076,5.350040242,5.89279086,5.505598216,5.96831154,5.34234987,5.697691458,5.968886909,5.848522471,5.564375011,5.401956567,5.205616475,5.457789502,5.625658772,5.447950971,5.410494035,6.459725685,6.616314513,6.154139032,5.607157991,6.151328796,4.15302418,4.464883325,4.188753827,5.044804575,5.718889907,4.754300243,5.575866576,4.000171299,6.477808255,3.592024156,5.70806873,4.960312358,5.331570563,5.923477962,6.192941,4.708000374,6.255853261,4.133887721,6.066637588,4.897106596,5.96801487,5.32398881,5.253214689,5.537992711,5.831915357,3.276226652,1.549623988,-0.243276901,2.682539623,0.138234487,3.974657288,1.563027645,0.238785918,0.257885921,4.383744128,2.776881745,5.564375011,5.530418118,5.424125459,5.375744571,5.437299386
'1558448_a_at',4.941551526,4.371342229,3.790469699,2.842203486,1.065962131,4.906283717,5.685484205,4.152925251,3.221013867,4.400715274,4.384415586,4.298800405,4.551301619,3.132801155,3.988147352,3.862709959,4.258990849,5.057158518,4.735260319,3.91991259,4.120320909,0.495548329,1.532304765,4.293497923,4.00329328,4.629760694,4.583665734,4.241217513,1.695259962,4.338855906,3.136099077,3.954948312,2.456248539,3.635702326,1.001585542,1.911890951,3.035145682,3.45917297,3.939527381,4.169011388,4.192796062,4.602474343,2.098731604,3.527573363,3.111104578,4.537176859,2.514280319,3.165138856,3.199626473,1.557508998,1.996551771,1.459422455,3.184814233,-0.176706499,3.126109972,0.899320856,1.130558056,0.803572138,1.21914135,0.523620278,1.504617362,4.741237334,5.11768811,4.029199892,5.795995204,4.943527594
'1559263_s_at',6.715511144,6.307514301,6.568069893,7.041637356,6.072948877,1.690813113,2.922287431,3.221395113,2.744927474,2.935233991,3.842375221,4.484270203,3.34024137,5.007560238,4.408688182,3.825222986,3.402650172,3.475743711,3.86318548,2.580064746,1.263909067,3.242377512,2.187194297,3.73436139,3.375701561,5.460108989,3.525200378,0.851014874,0.26149284,3.874971017,2.044533907,2.361339948,3.500249757,2.524578232,0.769520837,3.385451784,4.1467182,3.832826058,3.679012555,3.947652301,3.306791399,2.965704606,2.245418006,1.06898464,-0.568822735,0.918038726,0.61363069,0.842448573,3.392974647,4.115315287,-0.331939997,3.529943871,-0.086238787,1.29525164,0.396468424,-1.675422862,1.60583441,-0.072985365,2.176991175,3.499592352,3.016138228,3.873886985,2.476586759,5.029310692,3.494473321,3.14925875
'1559362_at',5.90075402,5.563480599,4.97523262,5.337213539,5.049605797,4.946162946,5.67899449,4.455668862,5.805324661,4.928158823,6.62824349,6.09601781,5.327422952,4.911112755,5.009396465,5.618881487,5.584900448,5.687212987,5.958505467,5.074494746,4.307043143,5.790730707,4.634954448,4.232505056,6.464692883,6.003436366,4.017733905,5.725428696,6.249615218,6.812121989,5.98006101,6.637984922,5.638296359,6.510777287,5.462420874,5.266836057,5.386258624,6.316407061,5.485977879,5.418074707,5.68790367,6.297475249,5.463906825,5.524909106,5.587165787,5.843634729,5.651343423,5.595386447,5.574079663,3.995100866,4.574739326,2.522162694,1.899214347,1.552502263,3.590343189,5.435583938,5.193197931,3.157749417,3.086866204,4.637630267,4.572481006,4.524195163,5.00617111,4.977662208,5.384818254,4.847135958
'1559550_s_at',4.595178309,3.631206188,3.041004141,3.309224075,3.737002479,7.558379591,8.040799197,6.126342262,2.256978673,5.652260094,7.207239369,6.154608481,6.71897808,6.048691614,5.424867306,6.639182302,6.275484577,6.399615411,6.694502142,6.283949814,6.611519441,5.292143376,5.758458439,6.004919847,4.12945955,3.981763162,3.25131953,4.906184015,4.190450915,4.576019549,4.593221078,4.177225106,4.181360359,4.189689587,3.334457523,4.065420912,3.392626348,1.465002136,4.458742466,1.594255056,5.014595051,-0.036783149,1.415766826,4.22328678,3.498135265,4.087886279,1.330110662,3.926244198,3.227879446,4.842502837,3.313683304,5.227548131,1.629477971,4.351926058,4.873383892,4.261261829,3.662865212,2.823186935,0.28029142,4.97492511,0.397278188,2.506881897,3.265905198,3.790863605,2.455179056,2.868668076
